,FACET,PRINCIPLE,INDICATOR_ID,PRIORITY,METRIC,SCORE,MANUAL
0,FINDABLE,F1,RDA-F1-01M,Essential,4,1,0
1,FINDABLE,F1,RDA-F1-01D,Essential,4,1,0
2,FINDABLE,F1,RDA-F1-02M,Essential,4,1,0
3,FINDABLE,F1,RDA-F1-02D,Essential,4,1,0
4,FINDABLE,F2,RDA-F2-01M,Essential,4,1,0
5,FINDABLE,F3,RDA-F3-01M,Essential,4,1,0
6,FINDABLE,F4,RDA-F4-01M,Essential,4,1,1
7,ACCESSIBLE,A1,RDA-A1-01M,Important,4,1,0
8,ACCESSIBLE,A1,RDA-A1-02M,Essential,4,1,1
9,ACCESSIBLE,A1,RDA-A1-02D,Essential,4,1,1
10,ACCESSIBLE,A1,RDA-A1-03M,Essential,4,1,0
11,ACCESSIBLE,A1,RDA-A1-03D,Essential,4,1,0
12,ACCESSIBLE,A1,RDA-A1-04M,Essential,4,1,0
13,ACCESSIBLE,A1,RDA-A1-04D,Essential,4,1,0
14,ACCESSIBLE,A1,RDA-A1-05D,Important,4,1,0
15,ACCESSIBLE,A1.1,RDA-A1.1-01M,Essential,4,1,0
16,ACCESSIBLE,A1.1,RDA-A1.1-01D,Important,4,1,0
17,ACCESSIBLE,A1.2,RDA-A1.2-02D,Useful,4,1,0
18,ACCESSIBLE,A2,RDA-A2-01M,Essential,4,1,0
19,INTEROPERABLE,I1,RDA-I1-01M,Important,4,1,0
20,INTEROPERABLE,I1,RDA-I1-01D,Important,4,1,0
21,INTEROPERABLE,I1,RDA-I1-02M,Important,4,1,0
22,INTEROPERABLE,I1,RDA-I1-02D,Important,4,1,0
23,INTEROPERABLE,I2,RDA-I2-01M,Important,4,1,1
24,INTEROPERABLE,I2,RDA-I2-01D,Useful,4,1,1
25,INTEROPERABLE,I3,RDA-I3-01M,Important,4,1,0
26,INTEROPERABLE,I3,RDA-I3-01D,Useful,3,0,0
27,INTEROPERABLE,I3,RDA-I3-02M,Useful,2,0,1
28,INTEROPERABLE,I3,RDA-I3-02D,Useful,2,0,1
29,INTEROPERABLE,I3,RDA-I3-03M,Important,2,0,1
30,INTEROPERABLE,I3,RDA-I3-04M,Useful,2,0,1
31,REUSABLE,R1,RDA-R1-01M,Essential,4,1,0
32,REUSABLE,R1.1,RDA-R1.1-01M,Essential,4,1,1
33,REUSABLE,R1.1,RDA-R1.1-02M,Important,4,1,1
34,REUSABLE,R1.1,RDA-R1.1-03M,Important,4,1,1
35,REUSABLE,R1.2,RDA-R1.2-01M,Important,4,1,0
36,REUSABLE,R1.2,RDA-R1.2-02M,Useful,4,1,0
37,REUSABLE,R1.3,RDA-R1.3-01M,Essential,4,1,0
38,REUSABLE,R1.3,RDA-R1.3-01D,Essential,4,1,0
39,REUSABLE,R1.3,RDA-R1.3-02M,Essential,4,1,0
40,REUSABLE,R1.3,RDA-R1.3-02D,Important,4,1,0
